# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DDVEC    = Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable); 
# FHVEC    = Vector mean windspeed (in 0.1 m/s); 
# FG       = Daily mean windspeed (in 0.1 m/s); 
# FHX      = Maximum hourly mean windspeed (in 0.1 m/s); 
# FHXH     = Hourly division in which FHX was measured; 
# FHN      = Minimum hourly mean windspeed (in 0.1 m/s); 
# FHNH     = Hourly division in which FHN was measured; 
# FXX      = Maximum wind gust (in 0.1 m/s); 
# FXXH     = Hourly division in which FXX was measured; 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# TNH      = Hourly division in which TN was measured; 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# TXH      = Hourly division in which TX was measured; 
# T10N     = Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius); 
# T10NH    = 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
# SQ       = Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour); 
# SP       = Percentage of maximum potential sunshine duration; 
# Q        = Global radiation (in J/cm2); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# PG       = Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values; 
# PX       = Maximum hourly sea level pressure (in 0.1 hPa); 
# PXH      = Hourly division in which PX was measured; 
# PN       = Minimum hourly sea level pressure (in 0.1 hPa); 
# PNH      = Hourly division in which PN was measured; 
# VVN      = Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVNH     = Hourly division in which VVN was measured; 
# VVX      = Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Hourly division in which VVX was measured; 
# NG       = Mean daily cloud cover (in octants, 9=sky invisible); 
# UG       = Daily mean relative atmospheric humidity (in percents); 
# UX       = Maximum relative atmospheric humidity (in percents); 
# UXH      = Hourly division in which UX was measured; 
# UN       = Minimum relative atmospheric humidity (in percents); 
# UNH      = Hourly division in which UN was measured; 
# 
# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH, EV24,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH
# 
  260,19790701,  315,   26,   26,   46,   12,    5,   22,   93,   10,  120,   69,    5,  163,   13,   31,     ,   69,   41, 1769,    0,   -1,   -1,     ,   27,10222,10228,     ,10212,     ,   70,    1,   80,    5,    5,   69,   86,    3,   48,   13
  260,19790702,  316,   10,   15,   31,   13,    0,   23,   62,   13,  134,   85,    2,  184,   16,   47,     ,   22,   13, 1730,    0,    0,    0,     ,   28,10229,10240,     ,10224,     ,   57,   24,   75,    2,    6,   72,   96,   24,   56,   15
  260,19790703,  318,   15,   21,   31,   16,    0,    1,   77,   12,  157,   89,    1,  210,   15,   52,     ,  117,   70, 2335,    0,    0,    0,     ,   39,10240,10259,     ,10232,     ,   35,   23,   63,    2,    4,   75,   98,    4,   54,   13
  260,19790704,   27,   26,   26,   36,   13,   15,    5,   72,   16,  140,   99,    5,  179,   15,   85,     ,   31,   19, 1524,    0,    0,    0,     ,   25,10285,10300,     ,10260,     ,   40,    2,   70,   12,    6,   74,   89,    3,   64,   17
  260,19790705,  327,   10,   15,   26,   14,    5,    5,   57,   14,  156,  118,   24,  214,   16,   87,     ,   70,   42, 1837,    0,    0,    0,     ,   31,10297,10313,     ,10275,     ,   40,   22,   65,    1,    4,   76,   97,   23,   55,   15
  260,19790706,  294,   15,   15,   36,   16,    5,    1,   72,   16,  167,  102,    2,  215,   14,   71,     ,   61,   37, 1934,    0,    0,    0,     ,   33,10250,10273,     ,10222,     ,   15,    6,   57,   11,    5,   77,   99,    2,   58,   18
  260,19790707,  252,   26,   31,   62,   13,    5,    3,  113,   13,  162,  117,    3,  212,   13,   90,     ,   33,   20, 1613,   26,   30,   16,     ,   27,10180,10217,     ,10147,     ,   18,   20,   58,   11,    6,   82,   98,   23,   56,   12
  260,19790708,  281,   31,   36,   62,   10,   26,    5,  103,   24,  162,  135,    3,  192,   14,  130,     ,  100,   60, 2124,    0,   -1,   -1,     ,   36,10167,10185,     ,10143,     ,   30,    1,   70,   11,    6,   73,   96,    1,   62,   16
  260,19790709,  278,   36,   41,   62,   14,   21,   23,  139,   12,  160,  136,   22,  187,   12,  130,     ,   50,   30, 1716,   37,   40,   16,     ,   29,10154,10196,     ,10130,     ,   20,    8,   75,   13,    7,   77,   96,    8,   51,   14
  260,19790710,  334,   15,   21,   31,   14,   10,    3,   62,   13,  157,  101,    5,  200,   14,   74,     ,   75,   46, 1904,    0,    0,    0,     ,   32,10226,10238,     ,10199,     ,   65,    6,   75,   17,    5,   72,   92,    4,   50,   16
  260,19790711,   91,   21,   21,   36,   23,   10,    1,   67,   23,  165,  119,    1,  209,   15,   89,     ,   15,    9, 1569,    0,    0,    0,     ,   27,10220,10234,     ,10206,     ,   57,   17,   70,    1,    7,   68,   90,    1,   53,   16
  260,19790712,   59,   46,   46,   62,   11,   31,    1,  123,   15,  184,  125,    5,  240,   15,  118,     ,  147,   90, 2761,    0,    0,    0,     ,   49,10185,10209,     ,10164,     ,   70,    1,   75,    9,    3,   58,   85,    4,   34,   13
  260,19790713,   16,   31,   36,   57,   12,   10,   23,  108,   14,  161,  116,   24,  225,   12,   71,     ,   20,   12, 1373,    3,    3,    3,     ,   23,10187,10226,     ,10164,     ,   45,   24,   72,    1,    5,   75,   96,   23,   55,   13
  260,19790714,  253,   15,   21,   36,   12,    5,    3,   77,   13,  156,   81,    5,  221,   14,   39,     ,   52,   32, 1941,    0,    0,    0,     ,   32,10247,10262,     ,10226,     ,    1,    4,   60,   14,    3,   78,  100,    4,   47,   13
  260,19790715,  304,   10,   10,   21,   10,    5,    5,   51,   11,  134,   93,   24,  163,   12,   39,     ,   -1,    0,  644,    0,   -1,   -1,     ,   10,10260,10267,     ,10248,     ,   50,    1,   70,   10,    6,   82,   96,   23,   70,   12
  260,19790716,  263,   26,   26,   51,   13,   10,    7,   98,   12,  140,   93,    1,  170,   14,   38,     ,    0,    0,  795,   50,   14,    5,     ,   13,10209,10243,     ,10181,     ,   20,   23,   65,    6,    7,   86,   99,   24,   69,   11
  260,19790717,  268,   26,   26,   46,   15,    5,   21,   98,   15,  178,  149,    1,  216,   15,  135,     ,   22,   14, 1121,   23,    5,    2,     ,   20,10180,10192,     ,10156,     ,   18,    7,   62,   24,    7,   84,   98,    5,   68,   15
  260,19790718,  237,   31,   36,   62,   10,    5,   22,  113,   11,  164,  129,   24,  191,   10,  119,     ,    2,    1,  508,   84,   74,   24,     ,    9,10111,10148,     ,10090,     ,   11,   15,   62,    1,    8,   90,   97,   21,   78,   10
  260,19790719,  255,   31,   31,   57,   13,   15,    1,  123,   13,  138,  117,    4,  150,   12,  105,     ,    0,    0,  602,    1,    1,    1,     ,   10,10109,10121,     ,10088,     ,   45,    1,   65,   24,    7,   79,   97,    1,   65,   17
  260,19790720,  260,   31,   31,   46,    9,   10,   21,  118,    9,  150,  133,    6,  176,   15,  116,     ,   26,   16, 1426,    0,    0,    0,     ,   24,10124,10135,     ,10105,     ,   62,    6,   65,    1,    7,   70,   83,   22,   51,   15
  260,19790721,  250,   36,   36,   57,   12,   10,   20,  139,   17,  137,   99,   22,  176,   14,   74,     ,   19,   12, 1080,   22,   92,   61,     ,   17,10109,10132,     ,10086,     ,   56,    8,   70,   11,    6,   79,   96,   20,   59,   14
  260,19790722,  275,   36,   36,   62,   15,   15,   23,  123,   15,  137,   93,    5,  172,   14,   73,     ,   43,   27, 1414,    1,    1,    1,     ,   23,10192,10227,     ,10135,     ,   70,    1,   75,    6,    5,   75,   89,    4,   60,   13
  260,19790723,  257,   15,   21,   36,   17,    5,    2,   87,   13,  128,   90,    5,  159,   10,   75,     ,    0,    0,  487,    4,    6,    5,     ,    8,10220,10228,     ,10204,     ,   50,   15,   70,    1,    6,   88,   99,    5,   78,   10
  260,19790724,  264,   26,   31,   46,   12,   10,   23,  103,   16,  159,  111,    1,  199,   14,   75,     ,   69,   43, 2080,    1,    1,    1,     ,   35,10189,10198,     ,10182,     ,   50,    5,   70,   12,    6,   74,   98,    5,   52,   14
  260,19790725,  253,   26,   26,   46,   14,   10,    1,   98,   15,  173,  135,    1,  212,   15,  123,     ,   50,   31, 1617,    0,   -1,   -1,     ,   28,10172,10179,     ,10166,     ,   40,    4,   65,   13,    7,   79,   91,    4,   64,   12
  260,19790726,  282,   15,   21,   41,   13,    5,   21,   87,   14,  184,  137,    3,  235,   14,  101,     ,  117,   74, 2316,    0,    0,    0,     ,   41,10199,10221,     ,10177,     ,   40,    2,   70,   16,    4,   75,   95,    5,   54,   13
  260,19790727,  113,   10,   15,   31,   18,    0,    2,   57,   18,  191,  117,    6,  256,   15,   83,     ,   59,   37, 1940,    0,    0,    0,     ,   35,10216,10228,     ,10203,     ,   40,    5,   75,   11,    4,   74,   99,    4,   48,   14
  260,19790728,  308,    5,   15,   26,   14,    5,    2,   51,   14,  209,  129,    4,  278,   14,   96,     ,   94,   60, 2120,    0,    0,    0,     ,   39,10180,10200,     ,10151,     ,   35,    5,   60,    9,    4,   70,   97,    3,   43,   13
  260,19790729,  232,   36,   36,   62,   19,   15,    8,  118,   16,  185,  171,    8,  211,   15,  164,     ,    4,    3,  873,   24,   60,   29,     ,   15,10105,10145,     ,10066,     ,   30,    7,   65,   24,    7,   87,   95,    7,   70,   15
  260,19790730,  234,   36,   41,   57,   10,   15,   23,  118,   17,  179,  143,   24,  216,   14,  120,     ,   64,   41, 1454,    3,    5,    3,     ,   25,10084,10092,     ,10070,     ,   58,    7,   75,   17,    6,   78,   92,    7,   56,   17
  260,19790731,  201,   36,   41,   67,   14,   15,    2,  134,   15,  168,  134,    3,  211,   12,  120,     ,   13,    8, 1065,   10,    5,    4,     ,   18,10041,10075,     ,10022,     ,   35,   15,   70,   17,    6,   77,   94,   15,   60,   17
  350,19790701,  317,   36,   41,   67,   17,   10,   24,   93,   15,  128,   94,    4,  161,   16,   69,     ,   55,   33,     ,    0,    0,    0,     ,     ,10227,10232,     ,10217,     ,   70,    1,   75,    6,    6,   68,   89,    4,   51,   14
  350,19790702,  315,   10,   21,   41,   15,    5,    1,   62,   14,  136,   97,    1,  173,   17,   69,     ,    6,    4,     ,    0,   -1,   -1,     ,     ,10232,10240,     ,10227,     ,   60,   22,   75,    1,    6,   74,   91,    3,   57,   13
  350,19790703,  314,   26,   31,   62,   18,    5,    2,   93,   16,  155,   71,    3,  216,   15,   34,     ,  123,   74,     ,    0,    0,    0,     ,     ,10241,10256,     ,10233,     ,   22,   24,   70,   10,    3,   72,   96,    3,   47,   14
