# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DDVEC    = Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable); 
# FHVEC    = Vector mean windspeed (in 0.1 m/s); 
# FG       = Daily mean windspeed (in 0.1 m/s); 
# FHX      = Maximum hourly mean windspeed (in 0.1 m/s); 
# FHXH     = Hourly division in which FHX was measured; 
# FHN      = Minimum hourly mean windspeed (in 0.1 m/s); 
# FHNH     = Hourly division in which FHN was measured; 
# FXX      = Maximum wind gust (in 0.1 m/s); 
# FXXH     = Hourly division in which FXX was measured; 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# TNH      = Hourly division in which TN was measured; 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# TXH      = Hourly division in which TX was measured; 
# T10N     = Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius); 
# T10NH    = 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
# SQ       = Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour); 
# SP       = Percentage of maximum potential sunshine duration; 
# Q        = Global radiation (in J/cm2); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# PG       = Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values; 
# PX       = Maximum hourly sea level pressure (in 0.1 hPa); 
# PXH      = Hourly division in which PX was measured; 
# PN       = Minimum hourly sea level pressure (in 0.1 hPa); 
# PNH      = Hourly division in which PN was measured; 
# VVN      = Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVNH     = Hourly division in which VVN was measured; 
# VVX      = Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Hourly division in which VVX was measured; 
# NG       = Mean daily cloud cover (in octants, 9=sky invisible); 
# UG       = Daily mean relative atmospheric humidity (in percents); 
# UX       = Maximum relative atmospheric humidity (in percents); 
# UXH      = Hourly division in which UX was measured; 
# UN       = Minimum relative atmospheric humidity (in percents); 
# UNH      = Hourly division in which UN was measured; 
# 
# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH, EV24,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH
# 
  251,20090701,   27,   43,   45,   60,   11,   20,    3,   90,   13,  184,  146,   24,  222,   11,  134,   24,  139,   82, 2883,    0,    0,    0,    1,   51,10236,10243,   10,10231,    4,    2,    4,   82,   13,    2,   82,   99,    1,   59,   14
  251,20090702,   50,   56,   57,   70,    7,   30,    1,  100,   10,  192,  143,    2,  242,   13,  127,    6,  153,   90, 2913,    0,    0,    0,    1,   52,10201,10230,    1,10164,   24,   60,    1,   82,    9,    0,   76,   95,    1,   58,   11
  251,20090703,  168,    5,   52,   90,   17,   30,   13,  120,   17,  211,  157,    1,  294,   14,  150,    6,  103,   61, 2436,    0,    0,    0,    1,   45,10127,10159,    1,10106,   15,   45,   24,   80,   15,    2,   81,   93,    4,   59,   14
  251,20090704,  277,   47,   48,   70,    9,   10,   22,  100,   10,  181,  112,   24,  221,   12,   90,   24,  116,   69, 2713,    0,    0,    0,    1,   48,10125,10134,   14,10114,    4,    1,   23,   81,   13,    2,   82,   99,   21,   59,   15
  251,20090705,  242,   19,   33,   60,    9,   10,    1,   70,    6,  193,  109,    1,  244,   12,   83,    6,   85,   50, 2260,   22,   73,   36,   19,   41,10102,10122,    1,10080,   24,    1,    2,   81,   14,    4,   78,   99,    2,   51,   15
  251,20090706,  234,   78,   79,  110,   24,   20,    1,  150,   24,  183,  144,    3,  212,   15,  133,    6,  138,   82, 2751,    0,   -1,   -1,   24,   49,10057,10078,    1,10027,   24,   56,    1,   81,   17,    3,   75,   93,    1,   62,   15
  251,20090707,  244,   75,   77,  110,    4,   20,   23,  150,    1,  165,  112,   24,  202,   14,   95,   24,  111,   66, 2311,    6,   32,   32,    1,   39,10018,10029,   21,10007,    3,   59,   23,   82,   14,    4,   76,   94,   23,   61,   14
  251,20090708,  296,   69,   73,  100,   10,   20,    3,  170,   13,  155,   98,    3,  194,   12,   77,    6,   55,   33, 1683,    9,   18,   12,   13,   28,10053,10096,   23,10021,    5,   50,    3,   77,   23,    6,   79,   95,    3,   68,   23
  251,20090709,  279,   92,   94,  120,   22,   70,    1,  180,   23,  145,  122,    5,  176,   14,  119,   24,   75,   45, 2039,   32,   28,    6,   23,   33,10100,10112,   11,10076,   24,   59,    5,   81,    2,    6,   73,   87,   22,   58,   17
  251,20090710,  293,   88,   93,  130,    2,   70,   21,  190,    1,  144,  125,    2,  165,   15,  123,    6,   23,   14,  939,   64,  104,   31,    3,   15,10095,10130,   21,10052,    4,   44,    2,   78,   21,    7,   79,   92,    3,   63,   21
  251,20090711,  283,   51,   56,   80,   10,   10,   21,  110,    2,  147,   87,   23,  176,   13,   65,   24,   78,   47, 2150,    0,   -1,   -1,    3,   35,10128,10136,   14,10115,   24,   65,   22,   80,    8,    6,   74,   94,   23,   65,    8
  251,20090712,  210,   54,   65,   90,   13,   50,    1,  120,   10,  165,  143,    1,  190,   17,  140,    6,   33,   20,  843,   87,  141,   49,    9,   14,10076,10111,    1,10059,   13,   27,    5,   70,    1,    7,   89,   94,    6,   82,    2
  251,20090713,  225,   32,   43,   70,   13,   20,    5,  100,   13,  179,  125,   22,  207,   12,  112,   24,  134,   81, 2778,    0,    0,    0,    1,   49,10101,10112,   13,10082,    1,   56,    4,   80,   16,    3,   80,   94,    5,   67,   16
  251,20090714,  182,   32,   43,   70,    3,   20,   14,   90,    3,  192,  168,    2,  218,   12,  163,    6,  102,   62, 2479,    1,    5,    5,   24,   45,10106,10126,   24,10088,    2,   63,   24,   81,   12,    4,   77,   88,   23,   64,   12
  251,20090715,  216,   80,   86,  130,   16,   20,    2,  180,   16,  190,  151,    2,  213,   12,  141,    6,  134,   81, 2730,    9,   69,   69,    1,   49,10144,10176,   24,10118,    2,   60,    5,   77,   13,    2,   78,   90,    2,   66,   16
  251,20090716,  215,   33,   58,   90,   24,   20,   17,  130,   24,  190,  162,   20,  215,   14,  159,   24,  132,   80, 2729,    0,    0,    0,    1,   49,10187,10208,   10,10134,   24,   62,    2,   80,   17,    2,   81,   90,    4,   66,   14
  251,20090717,  169,   51,   73,  100,   16,   40,    7,  130,    1,  183,  168,   21,  211,   14,  159,   24,   58,   35, 1306,   33,   93,   38,    8,   23,10070,10122,    1,10044,   24,   50,    8,   80,   17,    5,   80,   91,    9,   68,   17
  251,20090718,  231,   78,   88,  110,    2,   50,   22,  160,   17,  162,  135,   24,  189,   12,  132,   24,   45,   27, 1229,    6,   18,   11,   24,   21,10055,10090,   21,10028,    6,   59,   24,   75,    1,    6,   80,   87,    7,   72,   18
  251,20090719,  232,   80,   81,  110,   18,   30,    1,  150,   19,  171,  108,    2,  196,   14,   96,    6,   85,   52, 2222,    3,    4,    4,    1,   38,10096,10106,   13,10081,    4,   64,    3,   80,   10,    5,   78,   90,    2,   69,   10
  251,20090720,  251,   82,   84,  100,    1,   50,   23,  170,    3,  169,  146,    4,  190,   12,  143,    6,  114,   70, 2300,    3,   12,    7,    4,   40,10123,10145,   16,10076,    2,   63,   24,   80,   16,    6,   77,   88,   24,   65,   16
  251,20090721,  182,   37,   50,   70,   22,   40,    2,  100,   22,  188,  154,    2,  221,   17,  147,    6,   65,   40, 1806,    9,    2,    1,   14,   32,10097,10134,    1,10041,   24,   64,    1,   80,   12,    5,   81,   91,    2,   68,   12
  251,20090722,  218,   67,   70,  110,   13,   20,    5,  160,   16,  190,  163,   24,  214,   12,  159,   24,   64,   39, 2025,   24,   30,   18,    3,   36,10037,10049,   14,10020,   24,   56,    3,   82,   15,    6,   78,   93,    1,   56,   16
  251,20090723,  238,   62,   63,   80,   17,   50,    7,  110,   20,  178,  162,    1,  201,   15,  157,    6,   60,   37, 1586,    6,    3,    3,    1,   28,10036,10071,   24,10006,    2,   68,    5,   80,   17,    5,   80,   89,    4,   67,   16
  251,20090724,  245,   74,   75,   90,    8,   60,    4,  140,   12,  172,  143,   12,  197,   14,  146,   12,   91,   56, 1957,    8,   28,   15,   12,   34,10096,10120,   23,10071,    1,   63,   19,   80,   15,    4,   79,   89,    3,   68,   14
  251,20090725,  280,   65,   67,  100,    9,   30,   23,  140,    7,  157,   92,   23,  192,   12,   75,   24,  115,   72, 2325,    0,   -1,   -1,    8,   39,10184,10225,   22,10122,    1,   70,    2,   80,   16,    4,   77,   90,   23,   67,   13
  251,20090726,  219,   46,   50,   90,   11,   10,    3,  110,   10,  177,   98,    3,  210,   13,   65,    6,   34,   21, 1638,    0,    0,    0,    1,   29,10181,10219,    1,10133,   24,   62,    4,   80,   14,    6,   79,   94,    4,   67,   14
  251,20090727,  245,   40,   45,   70,   23,   30,    7,  120,   17,  171,  118,   21,  210,   11,  114,   24,   31,   19, 1246,   19,   12,    7,   14,   21,10110,10139,   24,10091,   12,   63,   14,   80,    1,    7,   78,   88,   17,   67,    3
  251,20090728,  227,   50,   55,   90,   14,   20,    6,  120,   14,  174,  119,    4,  208,   12,  102,    6,  120,   75, 2490,    0,    0,    0,    1,   43,10180,10196,   14,10142,    1,   65,    2,   83,   18,    3,   73,   93,    4,   57,   16
  251,20090729,  168,   35,   41,   60,    1,   10,   23,  100,   12,  185,  126,   24,  217,   17,  113,   24,   26,   16, 1322,    4,    4,    4,   12,   23,10141,10183,    1,10078,   24,   60,   23,   75,    1,    7,   79,   91,   24,   72,   16
  251,20090730,  248,   93,   95,  140,   11,   60,    1,  190,    8,  159,  134,   21,  189,   11,  129,   24,   84,   53, 1817,   20,   64,   28,   12,   31,10146,10209,   24,10074,    3,   63,    1,   81,   13,    5,   76,   85,    1,   64,   13
  251,20090731,  235,   19,   49,   80,   23,   20,   17,  110,   24,  166,  119,    4,  202,   13,  109,    6,  137,   87, 2629,    0,    0,    0,    1,   45,10217,10232,   10,10189,   24,   75,    1,   83,   17,    2,   66,   80,   24,   48,   14
  260,20090701,   27,   29,   30,   40,   18,   20,    1,   70,   17,  211,  158,    4,  264,   16,  152,    6,  107,   64, 2560,    0,    0,    0,    1,   48,10223,10234,    9,10210,   17,   18,    3,   81,   16,    2,   77,   97,    4,   57,   16
  260,20090702,   48,   28,   30,   50,   18,   20,    1,   70,   10,  234,  166,    4,  297,   15,  157,    6,  106,   64, 2246,    0,    0,    0,    1,   43,10181,10215,    1,10146,   24,   66,    4,   82,   19,    2,   70,   89,    4,   50,   14
  260,20090703,  239,   20,   35,   60,   13,   20,    1,  110,   14,  222,  177,    4,  289,   11,  157,    6,   97,   58, 2382,    0,    0,    0,    1,   45,10129,10145,    1,10116,   12,   59,   12,   82,   17,    4,   73,   89,    3,   58,   18
  260,20090704,  318,   17,   25,   40,   11,   10,   21,   70,   10,  202,  138,   24,  249,   16,  107,   24,  130,   78, 2573,    0,    0,    0,    1,   47,10132,10138,    8,10123,   19,   60,    4,   82,   14,    2,   70,   95,   24,   48,   16
  260,20090705,  222,    9,   22,   50,   18,   10,    1,  100,   18,  206,  123,    4,  277,   14,   95,    6,   91,   55, 2087,    0,   -1,   -1,   17,   38,10103,10125,    1,10079,   16,   48,    3,   82,   16,    4,   71,   98,    4,   46,   14
  260,20090706,  235,   34,   36,   50,   10,   20,    1,  110,   18,  185,  149,   24,  231,   14,  133,   24,   91,   55, 2070,    4,   17,   17,   18,   37,10072,10090,    1,10052,   24,   62,   18,   82,   17,    4,   73,   93,   19,   52,   16
  260,20090707,  213,   43,   44,   70,    7,   20,   21,  140,    7,  158,  133,   11,  185,   15,  129,   24,   35,   21, 1257,   36,  192,   94,   11,   21,10038,10046,    1,10034,    7,   60,   22,   75,    1,    7,   85,   95,   22,   73,    8
  260,20090708,  276,   39,   41,   70,   13,   20,    2,  140,   13,  156,  133,    4,  191,   13,  124,    6,   45,   27, 1543,   25,   51,   20,    7,   26,10080,10123,   22,10040,    3,   50,    6,   80,   13,    7,   82,   96,    2,   67,   13
  260,20090709,  272,   34,   36,   50,    7,   30,    1,  100,    7,  151,  126,    2,  181,   10,  115,    6,   57,   35, 1410,    0,   -1,   -1,    4,   23,10128,10134,    9,10118,   24,   70,    1,   83,   16,    6,   69,   83,    4,   55,   16
  260,20090710,  274,   40,   43,   60,   12,   20,   22,  140,   14,  144,  122,    2,  172,   14,  118,    6,   16,   10, 1121,   51,   41,   14,    5,   18,10129,10154,   20,10105,    5,   58,   11,   80,   16,    8,   78,   92,    7,   59,   16
  260,20090711,  263,   20,   26,   50,   11,   10,    2,   90,   10,  166,  111,    5,  202,   11,   99,    6,   70,   43, 2082,    0,   -1,   -1,    1,   36,10138,10148,    1,10121,   24,   49,    5,   83,   17,    7,   74,   97,    5,   49,   14
  260,20090712,  216,   29,   34,   60,   17,   20,    1,  100,   16,  175,  146,   24,  215,   17,  126,   24,   47,   29,  969,   67,   65,   23,    5,   17,10090,10116,    1,10073,   12,   43,    8,   82,   16,    6,   84,   96,    5,   59,   17
  260,20090713,  208,   26,   30,   50,   11,   20,    1,   80,   11,  182,  130,    4,  231,   15,  118,    6,   93,   57, 1981,    0,    0,    0,    1,   35,10109,10120,   11,10095,   24,   65,    7,   82,   14,    5,   73,   89,    2,   50,   15
